squad,#_of_players,matches_played,starts,minutes,90s_played,goals_against,goals_against/90,shots_on_target_against,saves,save_percentage,wins,draws,losses,clean_sheets,clean_sheet_percentage,penalty_kicks_attempted,penalty_kicks_allowed,penalty_kicks_saved,penalty_kicks_missed,save%_(penalty_kicks),league,season
Ludogorets,3,31,31,"2,790",31,,,,,,26,1,4,13,41,1,1,0,0,0.0,Bulgarian_First_League,2021_2022
Pirin Blagoevgrad,5,32,32,"2,880",32,,,,,,9,6,17,4,12,9,9,0,0,0.0,Bulgarian_First_League,2021_2022
Slavia Sofia,4,31,31,"2,788",31,,,,,,9,10,12,8,25,0,0,0,0,,Bulgarian_First_League,2021_2022
Tsarsko Selo,5,32,32,"2,790",32,,,,,,5,11,16,12,37,5,5,0,0,0.0,Bulgarian_First_League,2021_2022
Atalanta,3,38,38,"3,420",38,48.0,1.0,153.0,107.0,70.0,19,7,12,9,23,3,3,0,0,0.0,Serie_A,2022_2023
Bologna,2,38,38,"3,420",38,49.0,1.0,165.0,117.0,74.0,14,12,12,8,21,9,7,2,0,22.0,Serie_A,2022_2023
Cremonese,3,38,38,"3,420",38,69.0,1.0,225.0,157.0,71.0,5,12,21,6,15,5,5,0,0,0.0,Serie_A,2022_2023
Empoli,3,38,38,"3,420",38,49.0,1.0,159.0,110.0,71.0,10,13,15,9,23,6,4,1,1,20.0,Serie_A,2022_2023
Fiorentina,4,38,38,"3,420",38,43.0,1.0,120.0,78.0,70.0,15,11,12,10,26,8,7,1,0,12.0,Serie_A,2022_2023
Hellas Verona,2,38,38,"3,420",38,59.0,1.0,185.0,128.0,68.0,7,10,21,6,15,2,1,1,0,50.0,Serie_A,2022_2023
Inter,3,38,38,"3,420",38,42.0,1.0,137.0,98.0,71.0,23,3,12,13,34,3,3,0,0,0.0,Serie_A,2022_2023
Juventus,2,38,38,"3,420",38,33.0,0.0,133.0,99.0,78.0,22,6,10,20,52,5,4,1,0,20.0,Serie_A,2022_2023
