squad,country,season,uefa_rating,confederation,overall_uefa_rating,uefa_season_ranking,overall_uefa_club_rank
Freiburg,Germany,2023_2024,13,UEFA,28,33,43
LASK,Austria,2023_2024,3,UEFA,18,57,50
Midtjylland,Denmark,2023_2024,2,UEFA,17,63,51
Aston Villa,England,2023_2024,17,UEFA,17,22,53
Lyon,France,2023_2024,-1,UEFA,21,-1,49
Union Berlin,Germany,2023_2024,6,UEFA,23,49,47
Leicester City,England,2023_2024,-1,UEFA,13,-1,58
Ludogorets,Bulgaria,2023_2024,9,UEFA,17,39,53
FK IMT Novi Beograd,Serbia,2023_2024,2,UEFA,17,63,51
Antwerp,Belgium,2023_2024,6,UEFA,12,49,60
Nice,France,2023_2024,-1,UEFA,14,-1,56
Lech Poznań,Poland,2023_2024,2,UEFA,16,70,55
Legia Warsaw,Poland,2023_2024,9,UEFA,13,39,58
Sturm Graz,Austria,2023_2024,3,UEFA,12,57,62
Rapid Wien,Austria,2023_2024,2,UEFA,9,63,66
Anderlecht,Belgium,2023_2024,-1,UEFA,12,-1,60
Gladbach,Germany,2023_2024,-1,UEFA,0,-1,102
Hoffenheim,Germany,2023_2024,-1,UEFA,0,-1,102
Brighton,England,2023_2024,14,UEFA,14,31,56
Granada,Spain,2023_2024,-1,UEFA,0,-1,102
Lens,France,2023_2024,10,UEFA,10,35,64
Genk,Belgium,2023_2024,7,UEFA,11,43,63
Wolfsburg,Germany,2023_2024,-1,UEFA,8,-1,68
Toulouse,France,2023_2024,10,UEFA,10,35,64
Wolfsberger AC,Austria,2023_2024,-1,UEFA,2,-1,90
AEK Athens,Greece,2023_2024,3,UEFA,4,57,83
CSKA Sofia,Bulgaria,2023_2024,1,UEFA,5,75,78
Vitesse,Netherlands,2023_2024,-1,UEFA,9,-1,66
Brest,France,2023_2024,-1,UEFA,0,-1,102
Newcastle Utd,England,2023_2024,8,UEFA,8,41,68
Nantes,France,2023_2024,-1,UEFA,8,-1,68
Twente,Netherlands,2023_2024,2,UEFA,5,63,78
RKS Raków,Poland,2023_2024,3,UEFA,8,57,68
