Player,Nation,Position,Squad,Age,Year of birth,90s Played,Goals,Shots Total,Shots on Target,Shots on Target %,Shots Total/90,Shots on target/90,Goals/Shot,Goals/Shot on Target,Average Shot Distance,Penalty Kicks Made,Penalty Kicks Attempted,Matches
Rui Pedro,pt POR,MF,Hatayspor,25,1998,5.4,0,5,2,40.0,0.92,0.37,0.00,0.00,,0,0,Matches
Halil Pehlivan,tr TUR,DF,Rizespor,29,1993,15.2,0,4,1,25.0,0.26,0.07,0.00,0.00,,0,0,Matches
Dimitris Pelkas,gr GRE,"MF,FW",Başakşehir,29,1993,13.8,6,30,17,56.7,2.18,1.24,0.20,0.35,,0,0,Matches
Nicolas Pépé,ci CIV,"MF,FW",Trabzonspor,28,1995,12.5,5,24,11,45.8,1.93,0.88,0.21,0.45,,0,0,Matches
Krzysztof Piątek,pl POL,FW,Başakşehir,28,1995,29.9,17,101,44,43.6,3.37,1.47,0.13,0.30,,4,5,Matches
Óscar Pinchi,es ESP,MF,Rizespor,27,1996,2.6,0,8,1,12.5,3.12,0.39,0.00,0.00,,0,0,Matches
Onurcan Piri,tr TUR,GK,Kayserispor,28,1994,3.0,0,0,0,,0.00,0.00,,,,0,0,Matches
Jackson Porozo,ec ECU,DF,Kasımpaşa,22,2000,13.2,1,10,2,20.0,0.76,0.15,0.10,0.50,,0,0,Matches
Achilleas Poungouras,gr GRE,"DF,MF",Sivasspor,27,1995,13.3,0,2,1,50.0,0.15,0.08,0.00,0.00,,0,0,Matches
Louka Prip,dk DEN,MF,Konyaspor,26,1997,18.2,6,29,17,58.6,1.60,0.94,0.21,0.35,,0,0,Matches
Uroš Radaković,rs SRB,DF,Ankaragücü,29,1994,34.1,1,16,4,25.0,0.47,0.12,0.06,0.25,,0,0,Matches
Niko Rak,hr CRO,DF,Konyaspor,20,2003,0.5,0,0,0,,0.00,0.00,,,,0,0,Matches
Erdal Rakip,mk MKD,MF,Antalyaspor,27,1996,14.5,0,13,3,23.1,0.90,0.21,0.00,0.00,,0,0,Matches
Benito Raman,be BEL,"MF,FW",Samsunspor,28,1994,4.8,0,6,2,33.3,1.24,0.41,0.00,0.00,,0,0,Matches

Milot Rashica,xk KVX,"MF,FW",Beşiktaş,27,1996,22.5,5,55,20,36.4,2.44,0.89,0.09,0.25,,0,0,Matches
Joher Rassoul,sn SEN,DF,Pendikspor,27,1995,11.4,0,2,0,0.0,0.18,0.00,0.00,,,0,0,Matches
Ante Rebić,hr CRO,"MF,FW",Beşiktaş,29,1993,4.4,0,7,2,28.6,1.59,0.46,0.00,0.00,,0,0,Matches
Brayan Riascos,co COL,FW,Gaziantep FK,28,1994,5.1,1,11,3,27.3,2.15,0.59,0.09,0.33,,0,0,Matches
Richard,br BRA,MF,Alanyaspor,29,1994,32.3,1,25,7,28.0,0.77,0.22,0.04,0.14,,0,0,Matches
Rigoberto Rivas,hn HON,"MF,DF",Hatayspor,25,1998,27.0,5,31,13,41.9,1.15,0.48,0.16,0.38,,0,0,Matches
Rochinha,pt POR,MF,Kasımpaşa,28,1995,2.1,0,3,1,33.3,1.44,0.48,0.00,0.00,,0,0,Matches
Garry Rodrigues,cv CPV,MF,Ankaragücü,32,1990,9.0,2,21,8,38.1,2.34,0.89,0.10,0.25,,0,0,Matches
Gerson Rodrigues,lu LUX,"FW,MF",Sivasspor,28,1995,7.4,2,12,3,25.0,1.62,0.40,0.17,0.67,,0,0,Matches
Kévin Rodrigues,pt POR,DF,Adana Demirspor,29,1994,10.2,0,6,2,33.3,0.59,0.20,0.00,0.00,,0,0,Matches
