club_id,club,num_of_players,90s_played,passes_completed,passes_attempted,pass_completion_%,total_passing_distance,progressive_passing_distance,passes_completed_(short),passes_attempted_(short),pass_completion_%_(short),passes_completed_(medium),passes_attempted_(medium),pass_completion_%_(medium),passes_completed_(long),passes_attempted_(long),pass_completion_%_(long),assists,xag:_exp._assisted_goals,xa:_expected_assists,assists_-_xag,key_passes,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,league,season
284,Valencia,29.0,38.0,12233.0,16255.0,75.0,217671.0,80185.0,5491.0,6436.0,85.0,5177.0,6140.0,84.0,1226.0,2710.0,45.0,24.0,27.0,24.0,-3.0,267.0,886.0,218.0,72.0,1162.0,La_Liga,2023_2024
285,Valladolid,36.0,38.0,12627.0,16425.0,76.0,238766.0,87767.0,5273.0,6049.0,87.0,5251.0,6199.0,84.0,1734.0,3141.0,55.0,24.0,28.0,24.0,-4.0,324.0,969.0,223.0,92.0,1244.0,La_Liga,2022_2023
286,Vejle BK,,,,,,,,,,,,,,,,,,,,,,,,,,,
286,Vejle BK,,,,,,,,,,,,,,,,,,,,,,,,,,,
287,Venezia,39.0,38.0,11575.0,15320.0,75.0,214514.0,84877.0,4947.0,5783.0,85.0,4826.0,5800.0,83.0,1487.0,2780.0,53.0,23.0,26.0,23.0,-3.0,250.0,802.0,215.0,77.0,1088.0,Serie_A,2021_2022
288,Viborg,,,,,,,,,,,,,,,,,,,,,,,,,,,
288,Viborg,,,,,,,,,,,,,,,,,,,,,,,,,,,
288,Viborg,,,,,,,,,,,,,,,,,,,,,,,,,,,
289,Villarreal,29.0,38.0,16679.0,20401.0,81.0,294002.0,103203.0,7388.0,8290.0,89.0,7135.0,8109.0,88.0,1669.0,2743.0,60.0,51.0,50.0,49.0,0.0,363.0,1278.0,349.0,66.0,1698.0,La_Liga,2021_2022
289,Villarreal,32.0,38.0,16634.0,19862.0,83.0,295552.0,101196.0,7381.0,8147.0,90.0,7101.0,7924.0,89.0,1743.0,2737.0,63.0,33.0,43.0,38.0,-10.0,374.0,1304.0,349.0,52.0,1622.0,La_Liga,2022_2023
289,Villarreal,32.0,38.0,15349.0,18637.0,82.0,278006.0,102363.0,6662.0,7409.0,89.0,6931.0,7828.0,88.0,1525.0,2599.0,58.0,47.0,40.0,40.0,6.0,365.0,1160.0,339.0,88.0,1558.0,La_Liga,2023_2024
290,Vitesse,,,,,,,,,,,,,,,,,,,,,,,,,,,
290,Vitesse,,,,,,,,,,,,,,,,,,,,,,,,,,,
290,Vitesse,,,,,,,,,,,,,,,,,,,,,,,,,,,
291,Vitória,27.0,34.0,11319.0,15030.0,75.0,207172.0,85898.0,4900.0,5756.0,85.0,4798.0,5871.0,81.0,1324.0,2531.0,52.0,35.0,32.0,32.0,2.0,336.0,1002.0,289.0,88.0,1361.0,Primeira_Liga,2023_2024
291,Vitória,31.0,34.0,11541.0,14962.0,77.0,220936.0,81315.0,4731.0,5471.0,86.0,4934.0,5844.0,84.0,1600.0,2854.0,56.0,25.0,31.0,27.0,-6.0,322.0,976.0,246.0,81.0,1273.0,Primeira_Liga,2021_2022
291,Vitória,34.0,34.0,11381.0,14815.0,76.0,210741.0,83755.0,4849.0,5624.0,86.0,4765.0,5685.0,83.0,1453.0,2643.0,55.0,25.0,24.0,24.0,0.0,271.0,927.0,196.0,72.0,1132.0,Primeira_Liga,2022_2023
