club_id,club,confederation,country,uefa_rating,uefa_season_ranking,overall_uefa_rating,overall_uefa_club_rank,season
153,Leicester City,UEFA,England,13,31,13,58,2021_2022
153,Leicester City,UEFA,England,-1,-1,13,58,2022_2023
154,Lens,UEFA,France,-1,-1,10,64,2021_2022
154,Lens,UEFA,France,-1,-1,10,64,2022_2023
154,Lens,UEFA,France,10,35,10,64,2023_2024
155,Levadiakos,,,-1,-1,-1,-1,
156,Levante,,,-1,-1,-1,-1,
157,Leverkusen,UEFA,Germany,14,29,62,9,2021_2022
157,Leverkusen,UEFA,Germany,19,13,62,9,2022_2023
157,Leverkusen,UEFA,Germany,29,2,62,9,2023_2024
158,Levski Sofia,UEFA,Bulgaria,-1,-1,4,83,2021_2022
158,Levski Sofia,UEFA,Bulgaria,2,66,4,83,2022_2023
158,Levski Sofia,UEFA,Bulgaria,2,63,4,83,2023_2024
159,Lille,UEFA,France,17,19,34,36,2021_2022
159,Lille,UEFA,France,-1,-1,34,36,2022_2023
159,Lille,UEFA,France,17,22,34,36,2023_2024
160,Liverpool,UEFA,England,33,1,72,5,2021_2022
160,Liverpool,UEFA,England,19,13,72,5,2022_2023
160,Liverpool,UEFA,England,20,14,72,5,2023_2024
161,Loko Plovdiv,UEFA,Bulgaria,2,65,2,95,2021_2022
161,Loko Plovdiv,UEFA,Bulgaria,-1,-1,2,95,2022_2023
161,Loko Plovdiv,UEFA,Bulgaria,-1,-1,2,95,2023_2024
162,Lokomotiv Sofia,,,-1,-1,-1,-1,
162,Lokomotiv Sofia,,,-1,-1,-1,-1,
162,Lokomotiv Sofia,,,-1,-1,-1,-1,
163,Lorient,,,-1,-1,-1,-1,
163,Lorient,,,-1,-1,-1,-1,
163,Lorient,,,-1,-1,-1,-1,
164,Ludogorets,UEFA,Bulgaria,3,58,17,53,2021_2022
164,Ludogorets,UEFA,Bulgaria,5,53,17,53,2022_2023
164,Ludogorets,UEFA,Bulgaria,9,39,17,53,2023_2024
165,Luton Town,,,-1,-1,-1,-1,
166,Lyngby,UEFA,Denmark,-1,-1,0,102,2022_2023
