player_id,player,nation,position,club,age,year_of_birth,league,season,matches_played,starts,minutes,90s_played,goals_against,goals_against/90,shots_on_target_against,saves,save_percentage,wins,draws,losses,clean_sheets,clean_sheet_percentage,penalty_kicks_attempted,penalty_kicks_allowed,penalty_kicks_saved,penalty_kicks_missed,save%_(penalty_kicks)
5494,Jakub Orpik,POL,MF,Jagiellonia,17,2003,Ekstraklasa,2021_2022,,,,,,,,,,,,,,,,,,,
5495,Jakub Paszkowski,POL,MF,Warta Poznań,15,2006,Ekstraklasa,2022_2023,,,,,,,,,,,,,,,,,,,
5495,Jakub Paszkowski,POL,MF,Warta Poznań,16,2006,Ekstraklasa,2023_2024,,,,,,,,,,,,,,,,,,,
5496,Jakub Pek,POL,MF,Bruk-Bet Termalica Nieciecza,20,2000,Ekstraklasa,2021_2022,,,,,,,,,,,,,,,,,,,
5497,Jakub Piotrowski,POL,MF,Ludogorets,24,1997,Bulgarian_First_League,2022_2023,,,,,,,,,,,,,,,,,,,
5497,Jakub Piotrowski,POL,MF,Ludogorets,25,1997,Bulgarian_First_League,2023_2024,,,,,,,,,,,,,,,,,,,
5498,Jakub Rzeźniczak,POL,DF,Wisła Płock,34,1986,Ekstraklasa,2021_2022,,,,,,,,,,,,,,,,,,,
5498,Jakub Rzeźniczak,POL,DF,Wisła Płock,35,1986,Ekstraklasa,2022_2023,,,,,,,,,,,,,,,,,,,
5499,Jakub Sangowski,POL,FW,Warta Poznań,19,2002,Ekstraklasa,2021_2022,,,,,,,,,,,,,,,,,,,
5499,Jakub Sangowski,POL,FW,Warta Poznań,21,2002,Ekstraklasa,2023_2024,,,,,,,,,,,,,,,,,,,
5500,Jakub Serafin,POL,MF,Puszcza Niepołomice,27,1996,Ekstraklasa,2023_2024,,,,,,,,,,,,,,,,,,,
5501,Jakub Snopczynski,POL,MF,Radomiak Radom,16,2005,Ekstraklasa,2021_2022,,,,,,,,,,,,,,,,,,,
5501,Jakub Snopczynski,POL,MF,Radomiak Radom,18,2005,Ekstraklasa,2023_2024,,,,,,,,,,,,,,,,,,,
