Player,Nation,Position,Squad,Age,Year of birth,90s Played,Yellow Cards,Red Cards,Second Yellow Card,Fouls Committed,Fouls Drawn,Offsides,Crosses,Interceptions,Tackles Won,Penalty Kicks Won,Penalty Kicks Conceded,Own Goals,Matches
Marco Harboe Ramkilde,dk DEN,FW,Hvidovre IF,25,1998,1.1,0,0,0,0,4,0,0,0,1,,,0,Matches
Conrad Harder,dk DEN,FW,Nordsjælland,18,2005,6.7,4,0,0,9,4,7,2,3,7,,,0,Matches

Simon Hedlund,se SWE,"FW,MF",Brøndby,30,1993,0.1,0,0,0,0,0,0,0,0,0,,,0,Matches
Henrik Heggheim,no NOR,DF,Brøndby,22,2001,9.5,3,1,0,15,3,0,6,16,10,,,0,Matches
Filip Helander,se SWE,DF,Odense,30,1993,19.9,3,0,0,17,6,0,0,31,21,,,0,Matches
Lundrim Hetemi,dk DEN,MF,Vejle BK,23,2000,0.7,0,0,0,2,2,0,0,0,0,,,0,Matches
Lucas Hey,dk DEN,DF,Nordsjælland,20,2003,9.3,2,0,0,10,8,0,0,9,9,,,0,Matches
Lucas Hey,dk DEN,DF,Lyngby,20,2003,3.0,0,0,0,3,7,0,0,1,2,,,0,Matches
Charly Horneman,dk DEN,MF,Odense,19,2004,12.7,1,0,0,13,18,10,14,3,14,,,0,Matches
Benjamin Hvidt,dk DEN,MF,AGF,23,2000,0.0,0,0,0,0,0,0,0,0,0,,,0,Matches
Daniel Høegh,dk DEN,DF,Randers,32,1991,26.4,1,0,0,21,21,0,3,33,15,,,0,Matches
Emil Højlund,dk DEN,FW,FC Copenhagen,18,2005,0.0,0,0,0,1,0,0,0,0,0,,,0,Matches
Oscar Højlund,dk DEN,MF,FC Copenhagen,18,2005,4.4,0,0,0,8,13,2,3,5,3,,,0,Matches
Frederik Ibsen,dk DEN,DF,Brøndby,23,1999,15.9,6,0,0,17,8,0,0,31,12,,,0,Matches
Ahmed Iljazovski,mk MKD,"DF,MF",Hvidovre IF,26,1997,23.6,6,0,0,19,20,1,63,30,53,,,0,Matches
Sverrir Ingi Ingason,is ISL,DF,Midtjylland,29,1993,23.1,7,1,1,15,15,1,6,17,32,,,0,Matches
Marcus Ingvartsen,dk DEN,"FW,MF",Nordsjælland,27,1996,21.0,1,0,0,29,19,10,4,13,5,,,0,Matches
Mustapha Isah,ng NGA,FW,Randers,19,2004,0.9,0,0,0,4,4,1,1,0,2,,,0,Matches
Gustav Isaksen,dk DEN,MF,Midtjylland,22,2001,1.7,0,0,0,1,4,0,11,2,3,,,0,Matches
Mihajlo Ivančević,rs SRB,DF,Odense,24,1999,3.6,1,0,0,4,11,0,0,10,3,,,0,Matches
Jamie Jacobs,nl NED,MF,Viborg,25,1997,3.1,1,0,0,7,3,0,3,4,6,,,0,Matches
Christian Jakobsen,dk DEN,"MF,FW",Hvidovre IF,30,1993,24.6,5,0,0,41,32,6,19,14,31,,,0,Matches
Alassana Jatta,gm GAM,FW,Viborg,24,1999,1.4,0,0,0,5,0,0,0,0,1,,,0,Matches
Elias Jelert,dk DEN,"DF,MF",FC Copenhagen,20,2003,24.3,5,0,0,17,35,0,78,16,35,,,0,Matches
David Jensen,dk DEN,GK,Lyngby,31,1992,8.0,0,0,0,0,1,0,0,0,0,,,0,Matches
Isak Jensen,dk DEN,"FW,MF",Viborg,19,2003,18.7,1,0,0,10,21,0,72,4,15,,,0,Matches
Magnus Jensen,dk DEN,DF,Lyngby,26,1996,18.2,4,0,0,20,10,1,1,25,13,,,2,Matches

Markus Jensen,dk DEN,"MF,FW",Odense,18,2005,4.8,1,0,0,7,10,2,13,2,5,,,0,Matches
Oliver Jensen,dk DEN,MF,Midtjylland,21,2002,28.8,4,0,0,25,21,1,75,26,32,,,2,Matches
Victor Jensen,dk DEN,DF,Midtjylland,19,2003,6.3,0,0,0,4,2,0,12,10,12,,,0,Matches
Ísak Jóhannesson,is ISL,MF,FC Copenhagen,20,2003,0.2,0,0,0,0,0,1,0,0,0,,,0,Matches
Mikel Johnsen,dk DEN,FW,Midtjylland,16,2006,0.1,1,0,0,1,0,0,0,0,1,,,0,Matches
Juninho,br BRA,DF,Midtjylland,27,1995,16.0,1,0,0,10,9,2,2,19,16,,,0,Matches
Renato Junior,br BRA,"FW,MF",Viborg,21,2002,8.3,3,1,0,24,13,4,8,6,3,,,0,Matches
Musa Juwara,gm GAM,"FW,MF",Vejle BK,21,2001,16.0,2,0,0,35,20,18,57,16,19,,,0,Matches
Thomas Jørgensen,dk DEN,MF,Hvidovre IF,17,2005,13.6,1,0,0,10,9,0,19,9,23,,,0,Matches
Anders K. Jacobsen,dk DEN,"FW,MF",Vejle BK,33,1989,6.5,0,0,0,10,2,2,1,3,2,,,0,Matches
Mads Kaalund,dk DEN,MF,Hvidovre IF,26,1996,3.9,0,0,0,3,4,1,1,7,6,,,0,Matches
William Kaastrup,dk DEN,DF,Randers,19,2004,2.8,1,0,0,3,5,0,3,5,3,,,0,Matches
Sory Kaba,gn GUI,FW,Midtjylland,28,1995,1.5,1,0,0,3,3,2,0,0,1,,,0,Matches
Bashkim Kadrii,dk DEN,"FW,MF",Odense,32,1991,25.0,2,0,0,17,12,6,19,7,11,,,0,Matches
Eric Kahl,se SWE,"MF,DF",AGF,21,2001,20.3,8,0,0,25,12,1,112,10,18,,,0,Matches
Mikkel Kallesøe,dk DEN,DF,Randers,26,1997,13.0,4,1,1,12,5,1,41,5,17,,,0,Matches
Alhaji Kamara,sl SLE,FW,Midtjylland,29,1994,0.1,0,0,0,1,0,0,0,0,0,,,0,Matches
Alhaji Kamara,sl SLE,FW,Randers,29,1994,0.9,0,0,0,6,3,3,0,2,2,,,0,Matches
Adrian Kappenberger,dk DEN,GK,Hvidovre IF,26,1996,7.0,0,0,0,1,2,0,0,0,0,,,0,Matches
Davit Khocholava,ge GEO,DF,FC Copenhagen,30,1993,0.7,0,0,0,0,0,0,0,1,0,,,0,Matches
Kasper Kiilerich,dk DEN,GK,Viborg,17,2005,0.5,0,0,0,0,0,0,0,0,0,,,0,Matches
Malte Kiilerich,dk DEN,DF,Hvidovre IF,27,1995,18.0,2,0,0,18,8,1,0,18,31,,,1,Matches
Mads Kikkenborg,dk DEN,GK,Lyngby,23,1999,17.0,1,0,0,0,2,0,0,0,0,,,0,Matches
Kristian Kirkegaard,dk DEN,"FW,MF",Vejle BK,25,1997,11.3,1,0,0,20,16,6,11,9,11,,,0,Matches
Luca Kjerrumgaard,dk DEN,FW,Odense,20,2003,6.7,0,0,0,6,2,3,1,0,5,,,0,Matches

Sean Klaiber,sr SUR,"MF,DF",Brøndby,29,1994,20.7,1,0,0,32,12,4,56,24,29,,,0,Matches
Anders Klynge,dk DEN,"MF,FW",Silkeborg,22,2000,25.9,1,0,0,21,20,1,55,21,25,,,0,Matches
Tobias Klysner,dk DEN,MF,Randers,22,2001,1.8,0,0,0,1,0,0,3,4,3,,,0,Matches
Mats Knoester,nl NED,DF,AGF,24,1998,10.1,2,0,0,12,4,0,4,15,13,,,0,Matches
Magnus Knudsen,no NOR,MF,AGF,22,2001,20.6,6,0,0,18,16,0,29,6,25,,,0,Matches
Sven Köhler,de GER,MF,Odense,26,1996,20.5,10,0,0,31,31,0,24,30,29,,,0,Matches
Marius Kolind,dk DEN,MF,Vejle BK,21,2002,14.9,3,1,0,13,14,0,46,17,20,,,0,Matches
Denis Kolinger,hr CRO,DF,Vejle BK,29,1994,12.8,8,0,0,28,9,1,5,24,20,,,0,Matches
Björn Kopplin,de GER,DF,Randers,34,1989,19.6,0,0,0,6,7,0,52,22,18,,,0,Matches
Mateusz Kowalczyk,pl POL,MF,Brøndby,19,2004,0.0,0,0,0,0,0,0,1,0,1,,,0,Matches
Thomas Kristensen,dk DEN,DF,AGF,21,2002,5.8,2,0,0,5,2,0,0,8,3,,,0,Matches
Jeppe Kudsk,dk DEN,DF,Randers,20,2003,1.1,1,0,0,3,1,0,4,6,0,,,0,Matches
Willy Kumado,gh GHA,MF,Lyngby,20,2002,19.0,2,0,0,15,19,1,73,8,22,,,0,Matches
Kasper Kusk,dk DEN,MF,Silkeborg,31,1991,4.5,1,0,0,4,8,1,45,2,2,,,0,Matches
