Player,Nation,Position,Squad,Age,Year of birth,90s Played,Yellow Cards,Red Cards,Second Yellow Card,Fouls Committed,Fouls Drawn,Offsides,Crosses,Interceptions,Tackles Won,Penalty Kicks Won,Penalty Kicks Conceded,Own Goals,Ball Recoveries,Aerials Won,Aerials Lost,% of Aerials Won,Matches
Moussa Diarra,ml MLI,DF,Toulouse,22,2000,15.5,5,0,0,22,18,0,16,20,12,0,0,0,63,21,16,56.8,Matches
Krépin Diatta,sn SEN,"DF,FW",Monaco,24,1999,13.4,2,0,0,18,24,1,39,16,20,0,0,0,80,30,19,61.2,Matches
Mory Diaw,sn SEN,GK,Clermont Foot,30,1993,30.0,3,0,0,0,3,0,0,1,1,0,0,0,41,11,1,91.7,Matches
Mahamadou Diawara,fr FRA,MF,Lyon,18,2005,4.0,2,0,0,10,7,0,2,4,6,0,0,0,18,3,4,42.9,Matches
Bamba Dieng,sn SEN,FW,Lorient,23,2000,6.1,3,0,0,7,19,6,5,0,3,0,0,0,12,17,19,47.2,Matches
Guillaume Dietsch,fr FRA,GK,Metz,22,2001,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
Sinaly Diomande,ci CIV,DF,Lyon,22,2001,9.9,2,0,0,12,8,0,1,15,4,0,0,0,73,16,13,55.2,Matches
Edan Diop,fr FRA,"MF,DF",Monaco,18,2004,1.8,3,0,0,7,3,0,2,1,8,0,1,0,11,3,2,60.0,Matches
Sofiane Diop,fr FRA,FW,Nice,23,2000,5.5,0,0,0,9,12,8,13,3,6,0,0,0,28,1,4,20.0,Matches
Andy Diouf,fr FRA,MF,Lens,20,2003,14.6,2,0,0,12,15,0,47,3,19,0,0,0,94,10,14,41.7,Matches
Yehvann Diouf,fr FRA,GK,Reims,23,1999,34.0,1,0,0,0,9,0,0,1,0,0,0,0,57,12,2,85.7,Matches
Chaim El Djebali,tn TUN,MF,Lyon,19,2004,0.1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0.0,Matches
Jeremy Doku,be BEL,FW,Rennes,21,2002,1.2,0,0,0,2,4,0,1,0,2,0,0,0,7,0,2,0.0,Matches
Gianluigi Donnarumma,it ITA,GK,Paris S-G,24,1999,24.1,3,1,0,2,0,0,0,1,0,0,1,0,28,2,1,66.7,Matches
Siriné Doucouré,ml MLI,FW,Lorient,21,2002,4.7,2,0,0,10,6,2,1,1,6,0,0,0,8,17,24,41.5,Matches
Désiré Doué,fr FRA,"MF,FW",Rennes,18,2005,18.1,3,0,0,35,55,2,70,14,18,1,1,0,96,6,15,28.6,Matches
Guela Doué,ci CIV,DF,Rennes,20,2002,13.7,1,1,0,29,11,0,43,15,21,2,0,0,78,18,19,48.6,Matches
Douglas,br BRA,MF,Nantes,26,1997,19.7,7,0,0,48,24,0,20,26,42,0,1,0,126,8,20,28.6,Matches
Ismaël Doukouré,fr FRA,"MF,DF",Strasbourg,20,2003,18.4,4,0,0,19,11,0,0,19,16,0,0,1,100,14,17,45.2,Matches
Kamory Doumbia,ml MLI,MF,Brest,20,2003,9.8,1,0,0,15,10,1,8,9,18,0,0,0,68,10,13,43.5,Matches
Jean-Kevin Duverne,ht HAI,DF,Nantes,26,1997,15.0,5,0,0,29,16,0,13,18,19,0,1,0,80,15,15,50.0,Matches

Aron Dønnum,no NOR,"FW,MF",Toulouse,25,1998,17.7,8,0,0,31,36,4,28,8,10,1,0,0,76,6,13,31.6,Matches
Simon Ebonog,cm CMR,MF,Le Havre,18,2004,0.2,0,0,0,0,1,0,0,0,1,0,0,0,1,2,0,100.0,Matches
Hugo Ekitike,fr FRA,FW,Paris S-G,21,2002,0.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,Matches
Simon Elisor,fr FRA,FW,Metz,24,1999,8.5,1,0,0,17,16,4,4,0,2,1,0,0,20,35,47,42.7,Matches
Breel Embolo,ch SUI,FW,Monaco,26,1997,2.0,0,0,0,3,7,3,1,1,3,0,0,0,3,1,8,11.1,Matches
Emanuel Emegha,nl NED,FW,Strasbourg,20,2003,23.1,3,0,0,26,24,12,1,2,5,1,0,0,41,33,66,33.3,Matches
Maxime Estève,fr FRA,DF,Montpellier,21,2002,11.1,2,0,0,11,7,0,2,18,12,0,0,1,52,18,13,58.1,Matches
