Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,xG: Expected Goals,npxG: Non-Penalty xG,xAG: Exp. Assisted Goals,npxG + xAG,Progressive Carries,Progressive Passes,Progressive Passes Rec,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90,xG/90,xAG/90,xG + xAG/90,npxG/90,npxG + xAG/90,Matches
Kevin Bonifazi,it ITA,DF,Bologna,25,1996,22,14,"1,210",13.4,0,0,0,0,0,0,4,1,0.7,0.7,0.8,1.5,18,51,4,0.00,0.00,0.00,0.00,0.00,0.05,0.06,0.11,0.05,0.11,Matches
Leonardo Bonucci,it ITA,DF,Juventus,34,1987,24,22,"2,005",22.3,5,0,5,2,3,3,1,0,4.7,2.3,0.7,3.1,2,66,0,0.22,0.00,0.22,0.09,0.09,0.21,0.03,0.24,0.11,0.14,Matches
Mehdi Bourabia,ma MAR,MF,Spezia,29,1991,8,2,282,3.1,1,0,1,1,0,0,0,0,0.0,0.0,0.0,0.1,1,8,1,0.32,0.00,0.32,0.32,0.32,0.01,0.01,0.02,0.01,0.02,Matches
Edoardo Bove,it ITA,"MF,DF",Roma,19,2002,11,0,68,0.8,1,0,1,1,0,0,0,0,0.0,0.0,0.0,0.0,2,3,2,1.32,0.00,1.32,1.32,1.32,0.02,0.00,0.02,0.02,0.02,Matches
Josip Brekalo,hr CRO,MF,Torino,23,1998,32,26,"2,286",25.4,7,2,9,7,0,0,1,0,4.3,4.3,5.5,9.9,78,105,186,0.28,0.08,0.35,0.28,0.35,0.17,0.22,0.39,0.17,0.39,Matches
Gleison Bremer,br BRA,DF,Torino,24,1997,33,33,"2,890",32.1,3,1,4,3,0,0,7,0,4.4,4.4,0.4,4.8,18,64,6,0.09,0.03,0.12,0.09,0.12,0.14,0.01,0.15,0.14,0.15,Matches
Marcelo Brozović,hr CRO,MF,Inter,28,1992,35,35,"2,937",32.6,2,1,3,2,0,0,7,0,1.3,1.3,1.9,3.1,51,263,36,0.06,0.03,0.09,0.06,0.09,0.04,0.06,0.10,0.04,0.10,Matches
Aleksander Buksa,pl POL,FW,Genoa,18,2003,4,0,63,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Alessandro Buongiorno,it ITA,DF,Torino,22,1999,23,12,"1,181",13.1,0,1,1,0,0,0,5,0,0.9,0.9,0.7,1.6,8,30,3,0.00,0.08,0.08,0.00,0.08,0.07,0.06,0.12,0.07,0.12,Matches
Gianluca Busio,us USA,MF,Venezia,19,2002,29,23,"1,950",21.7,1,1,2,1,0,0,8,0,0.9,0.9,1.4,2.4,26,79,44,0.05,0.05,0.09,0.05,0.09,0.04,0.07,0.11,0.04,0.11,Matches
Arthur Cabral,br BRA,FW,Fiorentina,23,1998,14,8,749,8.3,2,2,4,2,0,0,1,0,4.2,4.2,0.4,4.6,8,10,27,0.24,0.24,0.48,0.24,0.48,0.50,0.04,0.55,0.50,0.55,Matches
Jovane Cabral,cv CPV,FW,Lazio,23,1998,3,2,190,2.1,1,0,1,1,0,0,0,0,1.0,1.0,0.0,1.1,0,5,13,0.47,0.00,0.47,0.47,0.47,0.49,0.02,0.51,0.49,0.51,Matches
Liberato Cacace,nz NZL,DF,Empoli,20,2000,10,5,466,5.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.1,13,12,16,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Matches
Martín Cáceres,uy URU,DF,Cagliari,34,1987,14,9,832,9.2,1,1,2,1,0,0,3,1,0.2,0.2,0.7,0.9,8,34,7,0.11,0.11,0.22,0.11,0.22,0.03,0.07,0.10,0.03,0.10,Matches
Felipe Caicedo,ec ECU,FW,Genoa,32,1988,9,1,284,3.2,1,2,3,1,0,0,1,0,1.4,1.4,1.1,2.5,4,4,22,0.32,0.63,0.95,0.32,0.95,0.45,0.34,0.79,0.45,0.79,Matches
Felipe Caicedo,ec ECU,"FW,DF",Inter,32,1988,3,0,23,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,1,3,4,0.00,0.00,0.00,0.00,0.00,0.00,0.44,0.44,0.00,0.44,Matches
Davide Calabria,it ITA,DF,Milan,24,1996,26,24,"2,119",23.5,2,2,4,2,0,0,2,0,3.8,3.8,1.8,5.6,36,113,74,0.08,0.08,0.17,0.08,0.17,0.16,0.08,0.24,0.16,0.24,Matches
Riccardo Calafiori,it ITA,DF,Genoa,19,2002,3,1,82,0.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,2,1,1,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,Matches
Riccardo Calafiori,it ITA,DF,Roma,19,2002,6,2,174,1.9,0,1,1,0,0,0,2,0,0.0,0.0,0.9,0.9,3,3,6,0.00,0.52,0.52,0.00,0.52,0.00,0.47,0.47,0.00,0.47,Matches
Mattia Caldara,it ITA,DF,Venezia,27,1994,31,30,"2,704",30.0,1,0,1,1,0,0,9,0,1.8,1.8,0.1,1.9,15,63,5,0.03,0.00,0.03,0.03,0.03,0.06,0.00,0.06,0.06,0.06,Matches
Hakan Çalhanoğlu,tr TUR,MF,Inter,27,1994,34,33,"2,480",27.6,7,12,19,4,3,3,11,0,5.9,3.5,8.7,12.2,75,184,126,0.25,0.44,0.69,0.15,0.58,0.22,0.32,0.53,0.13,0.44,Matches
José Callejón,es ESP,FW,Fiorentina,34,1987,30,16,"1,298",14.4,1,2,3,1,0,0,0,0,1.8,1.8,2.4,4.2,31,71,105,0.07,0.14,0.21,0.07,0.21,0.12,0.17,0.29,0.12,0.29,Matches
Andrea Cambiaso,it ITA,DF,Genoa,21,2000,26,21,"1,790",19.9,1,4,5,1,0,0,5,1,0.7,0.7,1.4,2.1,71,53,92,0.05,0.20,0.25,0.05,0.25,0.03,0.07,0.11,0.03,0.11,Matches
Matteo Cancellieri,it ITA,"MF,DF",Hellas Verona,19,2002,12,1,227,2.5,1,0,1,1,0,0,1,0,0.2,0.1,0.2,0.3,7,4,13,0.40,0.00,0.40,0.40,0.40,0.07,0.08,0.14,0.05,0.13,Matches
Antonio Candreva,it ITA,"MF,FW",Sampdoria,34,1987,36,36,"3,119",34.7,7,10,17,6,1,2,6,1,5.8,4.2,7.2,11.4,105,201,223,0.20,0.29,0.49,0.17,0.46,0.17,0.21,0.38,0.12,0.33,Matches

