Player,Nation,Position,Squad,Age,Year of birth,90s Played,Goals,Shots Total,Shots on Target,Shots on Target %,Shots Total/90,Shots on target/90,Goals/Shot,Goals/Shot on Target,Average Shot Distance,Penalty Kicks Made,Penalty Kicks Attempted,Matches
Mario Kröpfl,at AUT,"MF,FW",Hartberg,32,1989,3.0,0,2,0,0.0,0.66,0.00,0.00,,,0,0,Matches
Nicolas-Gerrit Kühn,de GER,MF,Rapid Wien,22,2000,13.3,3,28,13,46.4,2.11,0.98,0.11,0.23,,0,0,Matches
Hannes Küng,at AUT,DF,SC Austria Lustenau,19,2003,0.0,0,0,0,,0.00,0.00,,,,0,0,Matches
Markus Lackner,at AUT,DF,Ried,31,1991,17.2,0,6,0,0.0,0.35,0.00,0.00,,,0,0,Matches
Christoph Lang,at AUT,FW,Sturm Graz,20,2002,1.4,1,4,1,25.0,2.83,0.71,0.25,1.00,,0,0,Matches
Christoph Lang,at AUT,"FW,MF",Ried,20,2002,12.5,3,20,12,60.0,1.60,0.96,0.05,0.08,,2,2,Matches

Tobias Lawal,at AUT,GK,LASK,22,2000,7.0,0,0,0,,0.00,0.00,,,,0,0,Matches
Marko Lazetić,rs SRB,MF,SCR Altach,18,2004,3.0,0,6,3,50.0,2.03,1.02,0.00,0.00,,0,0,Matches
Doron Leidner,il ISR,"MF,DF",Austria Wien,20,2002,6.0,1,2,1,50.0,0.33,0.17,0.50,1.00,,0,0,Matches
Mario Leitgeb,at AUT,MF,Wolfsberger AC,34,1988,17.7,1,9,2,22.2,0.51,0.11,0.11,0.50,,0,0,Matches
Ivan Ljubic,at AUT,"MF,FW",Sturm Graz,26,1996,6.3,1,16,3,18.8,2.54,0.48,0.06,0.33,,0,0,Matches
Marin Ljubicic,hr CRO,FW,LASK,20,2002,17.9,12,38,18,47.4,2.12,1.00,0.29,0.61,,1,1,Matches
Luka Lochoshvili,ge GEO,DF,Wolfsberger AC,24,1998,1.3,0,0,0,,0.00,0.00,,,,0,0,Matches
Felix Luckeneder,at AUT,DF,LASK,28,1994,29.5,0,17,4,23.5,0.58,0.14,0.00,0.00,,0,0,Matches
Aleksandar Lutovac,rs SRB,"MF,FW",Ried,25,1997,10.4,0,12,3,25.0,1.15,0.29,0.00,0.00,,0,0,Matches
Matthias Maak,at AUT,DF,SC Austria Lustenau,30,1992,24.9,1,11,2,18.2,0.44,0.08,0.09,0.50,,0,0,Matches
Diego Madritsch,at AUT,MF,Ried,16,2005,7.5,1,2,1,50.0,0.27,0.13,0.50,1.00,,0,0,Matches
Thorsten Mahrer,at AUT,DF,SK Austria Klagenfurt,32,1990,31.0,1,8,2,25.0,0.26,0.06,0.13,0.50,,0,0,Matches
Damian Maksimovic,at AUT,FW,SCR Altach,17,2004,0.1,0,0,0,,0.00,0.00,,,,0,0,Matches
Maurice Malone,de GER,FW,Wolfsberger AC,21,2000,23.9,8,68,32,47.1,2.84,1.34,0.12,0.25,,0,0,Matches
