Player,Nation,Position,Squad,Age,Year of birth,90s Played,Yellow Cards,Red Cards,Second Yellow Card,Fouls Committed,Fouls Drawn,Offsides,Crosses,Interceptions,Tackles Won,Penalty Kicks Won,Penalty Kicks Conceded,Own Goals,Matches
Eli Just,nz NZL,"FW,MF",Horsens,22,2000,12.2,2,0,0,14,18,0,25,10,16,,,0,Matches
Sebastian Jørgensen,dk DEN,"FW,MF",Silkeborg,22,2000,22.8,2,0,0,5,8,5,45,9,19,,,0,Matches
Anders K. Jacobsen,dk DEN,FW,Horsens,32,1989,28.7,3,0,0,20,16,9,6,10,9,,,0,Matches
Mads Kaalund,dk DEN,"MF,FW",Silkeborg,25,1996,6.0,2,0,0,9,4,0,5,6,4,,,0,Matches
Magnus Kaastrup,dk DEN,"MF,FW",Lyngby,21,2000,10.3,2,0,0,5,11,0,38,5,4,,,0,Matches
William Kaastrup,dk DEN,DF,Randers,18,2004,2.5,1,0,0,6,4,0,3,2,5,,,0,Matches
Sory Kaba,gn GUI,FW,Midtjylland,27,1995,11.6,3,0,0,14,11,8,2,2,1,,,0,Matches
Bashkim Kadrii,dk DEN,FW,Odense,31,1991,16.4,2,0,0,7,12,11,6,2,5,,,0,Matches
Eric Kahl,se SWE,MF,AGF,20,2001,16.6,3,0,0,19,20,0,119,6,17,,,0,Matches
Mikkel Kallesøe,dk DEN,DF,Randers,25,1997,11.8,2,0,0,9,8,0,36,12,12,,,0,Matches
Alhaji Kamara,sl SLE,FW,Randers,28,1994,4.8,3,0,0,19,5,10,1,0,5,,,0,Matches
Mamoudou Karamoko,fr FRA,"MF,FW",FC Copenhagen,22,1999,2.2,0,0,0,2,1,0,0,1,0,,,0,Matches
Tosin Kehinde,ng NGA,MF,Randers,24,1998,16.3,5,0,0,14,22,4,50,11,16,,,0,Matches
Davit Khocholava,ge GEO,DF,FC Copenhagen,29,1993,14.5,6,0,0,16,9,0,0,20,14,,,0,Matches
Malte Kiilerich,dk DEN,DF,Horsens,26,1995,29.1,8,1,1,30,13,1,5,52,38,,,1,Matches
Mads Kikkenborg,dk DEN,GK,Lyngby,22,1999,26.0,1,0,0,0,2,0,0,0,0,,,0,Matches
Joel King,au AUS,DF,Odense,21,2000,3.2,2,0,0,3,2,0,7,5,4,,,0,Matches
Luca Kjerrumgaard,dk DEN,FW,Odense,19,2003,0.4,0,0,0,0,1,0,0,0,1,,,0,Matches
David Kjær Kruse,dk DEN,MF,Horsens,20,2002,23.0,4,0,0,24,16,1,62,30,41,,,0,Matches
Lukas Klitten,dk DEN,DF,Silkeborg,22,2000,4.1,2,0,0,9,9,1,2,5,12,,,0,Matches
Anders Klynge,dk DEN,MF,Silkeborg,21,2000,26.0,4,0,0,17,30,1,68,15,36,,,0,Matches
Tobias Klysner,dk DEN,"MF,FW",Randers,21,2001,11.7,1,0,0,20,5,2,17,17,16,,,0,Matches
Petur Knudsen,fo FRO,FW,Lyngby,24,1998,3.7,1,0,0,6,2,0,3,2,0,,,0,Matches

Sebastian Koch,dk DEN,MF,Lyngby,25,1996,0.7,0,0,0,1,0,0,1,0,1,,,0,Matches
