Player,Nation,Position,Squad,Age,Year of birth,90s Played,Yellow Cards,Red Cards,Second Yellow Card,Fouls Committed,Fouls Drawn,Offsides,Crosses,Interceptions,Tackles Won,Penalty Kicks Won,Penalty Kicks Conceded,Own Goals,Matches
Atakan Çankaya,tr TUR,"DF,MF",Göztepe,23,1998,17.5,6,0,0,26,26,1,5,49,21,,,1,Matches
Erdem Canpolat,de GER,GK,Kasımpaşa,20,2001,3.0,0,0,0,0,0,0,0,0,0,,,0,Matches
Mahsun Çapkan,tr TUR,MF,Rizespor,21,1999,0.1,0,0,0,1,0,0,0,0,2,,,0,Matches
Miguel Filipe Nunes Cardoso,pt POR,"MF,DF",Kayserispor,27,1994,14.1,1,0,0,22,14,4,78,6,9,,,0,Matches
José Carlos Marafona,pt POR,GK,Alanyaspor,34,1987,16.0,0,0,0,0,5,0,0,0,0,,,0,Matches
Lionel Carole,fr FRA,DF,Kayserispor,30,1991,28.4,5,0,0,19,24,6,58,48,25,,,0,Matches
Lucas Castro,ar ARG,MF,Adana Demirspor,32,1989,4.4,1,0,0,12,6,1,10,5,5,,,0,Matches
Steven Caulker,sl SLE,DF,Gaziantep FK,29,1991,24.0,3,0,0,11,1,0,2,28,11,,,2,Matches

Atalay Çayırlı,de GER,DF,Göztepe,15,2005,0.0,0,0,0,0,0,0,0,0,0,,,0,Matches
Endri Çekiçi,al ALB,"MF,FW",Konyaspor,24,1996,21.0,3,0,0,23,37,4,12,17,45,,,0,Matches
Erhan Çelenk,tr TUR,MF,Altay,32,1989,4.0,0,0,0,4,1,2,27,2,5,,,0,Matches
İzzet Çelik,,MF,Adana Demirspor,17,2004,0.0,0,0,0,0,1,0,0,0,0,,,0,Matches
Murat Cem Akpınar,tr TUR,MF,Trabzonspor,22,1999,0.5,0,0,0,0,2,0,0,0,0,,,0,Matches
Tarık Çetin,tr TUR,GK,Rizespor,24,1997,9.5,1,0,0,2,2,0,0,0,0,,,0,Matches
Bülent Cevahir,tr TUR,DF,Hatayspor,29,1992,1.3,0,0,0,0,2,0,4,1,0,,,0,Matches
