Player,Nation,Position,Squad,Age,Year of birth,90s Played,Yellow Cards,Red Cards,Second Yellow Card,Fouls Committed,Fouls Drawn,Offsides,Crosses,Interceptions,Tackles Won,Penalty Kicks Won,Penalty Kicks Conceded,Own Goals,Ball Recoveries,Aerials Won,Aerials Lost,% of Aerials Won,Matches
Mario Engels,de GER,"FW,MF",Heracles Almelo,29,1993,17.8,4,0,0,22,22,8,64,0,9,0,0,0,59,5,28,15.2,Matches
Marcelencio Esajas,nl NED,"MF,FW",Almere City,21,2002,0.4,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,,Matches
Luca Everink,nl NED,DF,Go Ahead Eag,22,2001,3.1,0,0,0,3,9,0,3,9,2,0,0,0,18,1,5,16.7,Matches
Kevin Felida,cw CUW,MF,RKC Waalwijk,23,1999,8.8,2,0,0,10,10,0,3,10,22,0,0,0,66,10,7,58.8,Matches
Arianit Ferati,xk KVX,"MF,DF",Fortuna Sittard,25,1997,8.2,0,0,0,9,7,0,11,8,9,0,0,0,63,9,9,50.0,Matches
Derensili Fernandes,nl NED,"FW,MF",Excelsior,22,2001,14.3,0,0,0,13,16,3,38,9,11,0,0,0,67,8,21,27.6,Matches
Rashaan Fernandes,nl NED,"FW,MF",Go Ahead Eag,24,1998,0.4,0,0,0,1,1,0,5,0,0,0,0,0,1,0,1,0.0,Matches
Nick Fichtinger,nl NED,MF,Zwolle,19,2004,3.9,2,0,0,5,2,0,3,6,7,0,0,0,25,6,3,66.7,Matches
Ezechiel Fiemawhle,,"MF,FW",Volendam,,,0.4,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,100.0,Matches
Kian Fitz-Jim,nl NED,"MF,FW",Ajax,20,2003,0.5,0,0,0,0,1,0,1,0,1,0,0,0,3,0,0,,Matches
Kian Fitz-Jim,nl NED,MF,Excelsior,20,2003,4.4,1,0,0,8,3,1,2,5,9,0,0,0,25,1,4,20.0,Matches
Ryan Flamingo,nl NED,"MF,DF",Utrecht,20,2002,30.7,4,0,0,25,13,1,8,39,26,0,1,0,174,67,59,53.2,Matches
Josh Flint,eng ENG,DF,Volendam,22,2000,24.8,4,0,0,20,8,2,11,32,27,0,0,0,93,53,44,54.6,Matches
Sherel Floranus,cw CUW,DF,Almere City,24,1998,28.0,7,0,0,40,14,0,37,38,38,0,1,0,160,41,37,52.6,Matches
Fodé Fofana,nl NED,FW,Vitesse,20,2002,1.1,0,0,0,3,4,0,0,0,0,0,0,0,3,0,3,0.0,Matches
