Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,xG: Expected Goals,npxG: Non-Penalty xG,xAG: Exp. Assisted Goals,npxG + xAG,Progressive Carries,Progressive Passes,Progressive Passes Rec,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90,xG/90,xAG/90,xG + xAG/90,npxG/90,npxG + xAG/90,Matches
Tajon Buchanan,ca CAN,"DF,FW",Club Brugge,22,1999,9,8,729,8.1,0,0,0,0,0,0,0,0,1.4,1.4,1.1,2.6,37,17,60,0.00,0.00,0.00,0.00,0.00,0.17,0.14,0.32,0.17,0.32,Matches
Mustapha Bundu,sl SLE,FW,Anderlecht,24,1997,1,0,16,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Christian Burgess,eng ENG,DF,Union SG,29,1991,28,27,"2,451",27.2,4,0,4,4,0,0,8,0,1.6,1.6,0.0,1.7,7,80,4,0.15,0.00,0.15,0.15,0.15,0.06,0.00,0.06,0.06,0.06,Matches
Aurélio Buta,pt POR,DF,Antwerp,24,1997,17,11,"1,047",11.6,0,1,1,0,0,0,5,0,0.3,0.3,1.5,1.8,50,59,63,0.00,0.09,0.09,0.00,0.09,0.03,0.13,0.15,0.03,0.15,Matches
Jean Butez,fr FRA,GK,Antwerp,26,1995,34,34,"3,060",34.0,0,0,0,0,0,0,2,0,0.0,0.0,0.1,0.1,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Liberato Cacace,nz NZL,"DF,FW",Sint-Truiden,20,2000,23,16,"1,483",16.5,0,0,0,0,0,0,2,0,2.0,2.0,0.8,2.8,29,41,88,0.00,0.00,0.00,0.00,0.00,0.12,0.05,0.17,0.12,0.17,Matches
Mathieu Cachbach,be BEL,MF,R.F.C. Seraing,20,2001,15,9,713,7.9,0,1,1,0,0,0,1,1,0.5,0.5,0.7,1.2,6,36,19,0.00,0.13,0.13,0.00,0.13,0.07,0.09,0.15,0.07,0.15,Matches
Mathieu Cafaro,fr FRA,MF,Standard Liège,24,1997,12,12,974,10.8,2,2,4,2,0,0,5,0,1.6,1.6,2.3,3.9,27,39,53,0.18,0.18,0.37,0.18,0.37,0.15,0.21,0.36,0.15,0.36,Matches
Moisés Caicedo,ec ECU,MF,Beerschot,19,2001,12,10,752,8.4,1,1,2,1,0,0,2,0,0.7,0.7,1.5,2.2,15,41,31,0.12,0.12,0.24,0.12,0.24,0.08,0.18,0.26,0.08,0.26,Matches
Alexandro Calut,be BEL,DF,Standard Liège,18,2003,8,8,668,7.4,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.2,7,19,12,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03,Matches
