Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,npxG + xAG/90,Matches
Lucas Lykkegaard,dk DEN,DF,Nordsjælland,19,2002,1,0,23,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Awer Mabil,au AUS,FW,Midtjylland,25,1995,9,2,295,3.3,1,3,4,1,0,0,1,0,0.31,0.92,1.22,0.31,1.22,Matches
Nicolas Madsen,dk DEN,MF,Midtjylland,21,2000,4,1,161,1.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Milan Makarić,rs SRB,FW,Aalborg,25,1995,30,25,"1,837",20.4,8,4,12,8,0,0,2,0,0.39,0.20,0.59,0.39,0.59,Matches
Foday Manneh,gm GAM,FW,Vejle BK,21,2000,1,0,9,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Gustav Marcussen,dk DEN,MF,Silkeborg,23,1998,3,0,29,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Marrony,br BRA,FW,Midtjylland,22,1999,7,2,208,2.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Jens Martin Gammelby,dk DEN,MF,Brøndby,26,1995,7,2,284,3.2,0,1,1,0,0,0,0,0,0.00,0.32,0.32,0.00,0.32,Matches

Erik Marxen,dk DEN,DF,Nordsjælland,30,1990,8,7,615,6.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Erik Marxen,dk DEN,DF,Randers,30,1990,14,10,886,9.8,0,2,2,0,0,0,1,0,0.00,0.20,0.20,0.00,0.20,Matches
Pelle Mattsson,dk DEN,MF,Silkeborg,19,2001,18,0,196,2.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Andreas Maxsø,dk DEN,DF,Brøndby,27,1994,27,27,"2,347",26.1,1,1,2,0,1,1,3,1,0.04,0.04,0.08,0.00,0.04,Matches
Oscar Meedom,dk DEN,FW,Aalborg,15,2005,1,0,4,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Jeff Mensah,dk DEN,FW,Viborg,28,1992,6,1,188,2.1,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Kevin Mensah,dk DEN,"MF,DF",Brøndby,30,1991,20,20,"1,748",19.4,1,1,2,1,0,0,2,0,0.05,0.05,0.10,0.05,0.10,Matches
Max Meyer,de GER,MF,Midtjylland,25,1995,8,2,254,2.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Nicholas Mickelson,th THA,DF,Odense,22,1999,24,24,"2,060",22.9,0,2,2,0,0,0,2,0,0.00,0.09,0.09,0.00,0.09,Matches
