Player,Nation,Position,Squad,Age,Year of birth,90s Played,Tackles,Tackles Won,Tackles (Def 3rd),Tackles (Mid 3rd),Tackles (Att 3rd),Dribblers Tackled,Dribbles Challenged,% of Dribblers Tackled,Challenges Lost,Blocks,Shots Blocked,Passes Blocked,Interceptions,Tkl+Int,Clearances,Errors,Matches
Sacha Delaye,fr FRA,"MF,FW",Montpellier,21,2002,1.4,7,2,2,2,3,1,6,16.7,5,2,0,2,0,7,1,0,Matches
Karamoko Dembélé,eng ENG,"MF,FW",Brest,20,2003,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Ousmane Dembélé,fr FRA,"MF,FW",Paris S-G,26,1997,16.7,19,14,2,7,10,6,13,46.2,7,11,0,11,5,24,4,1,Matches
Jessy Deminguet,fr FRA,"MF,FW",Strasbourg,25,1998,7.7,14,9,6,8,0,6,18,33.3,12,8,0,8,9,23,5,1,Matches
Rémy Descamps,fr FRA,GK,Nantes,27,1996,6.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,7,0,Matches
Mikkel Desler,dk DEN,DF,Toulouse,28,1995,17.2,18,12,8,7,3,9,17,52.9,8,32,13,19,19,37,38,0,Matches
Arthur Desmas,fr FRA,GK,Le Havre,29,1994,33.0,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,13,1,Matches
Lamine Diack,sn SEN,MF,Nantes,22,2000,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Mamadou Diakhon,fr FRA,"FW,MF",Reims,17,2005,2.3,5,3,2,1,2,3,9,33.3,6,1,0,1,1,6,1,0,Matches

Bafodé Diakité,fr FRA,DF,Lille,22,2001,18.8,29,20,12,15,2,24,32,75.0,8,16,8,8,21,50,49,1,Matches
Ibrahim Diakité,gn GUI,DF,Reims,19,2003,1.2,1,0,0,1,0,0,1,0.0,1,3,0,3,2,3,5,0,Matches
Oumar Diakité,ci CIV,FW,Reims,19,2003,17.6,25,12,10,9,6,7,21,33.3,14,13,0,13,7,32,7,0,Matches
Habib Diarra,sn SEN,"MF,FW",Strasbourg,19,2004,25.6,30,23,8,20,2,9,33,27.3,24,23,4,19,17,47,15,0,Matches
Moussa Diarra,ml MLI,DF,Toulouse,22,2000,15.5,32,12,16,15,1,13,27,48.1,14,30,14,16,20,52,43,0,Matches
Krépin Diatta,sn SEN,"DF,FW",Monaco,24,1999,13.4,37,20,17,16,4,27,49,55.1,22,17,2,15,16,53,22,0,Matches
Mory Diaw,sn SEN,GK,Clermont Foot,30,1993,30.0,1,1,1,0,0,1,2,50.0,1,0,0,0,1,2,13,5,Matches
Mahamadou Diawara,fr FRA,MF,Lyon,18,2005,4.0,9,6,4,5,0,3,11,27.3,8,4,1,3,4,13,4,0,Matches
Bamba Dieng,sn SEN,FW,Lorient,23,2000,6.1,3,3,0,3,0,1,3,33.3,2,3,0,3,0,3,7,0,Matches
