Player,Nation,Position,Squad,Age,Year of birth,90s Played,Goals,Shots Total,Shots on Target,Shots on Target %,Shots Total/90,Shots on target/90,Goals/Shot,Goals/Shot on Target,Average Shot Distance,Shots from Free Kicks,Penalty Kicks Made,Penalty Kicks Attempted,xG: Expected Goals,npxG: Non-Penalty xG,npxG/Shot,Goals - xG,Non-Penalty Goals - npxG,Matches
Mats Seuntjens,nl NED,FW,RKC Waalwijk,30,1992,17.4,4,39,15,38.5,2.24,0.86,0.10,0.27,20.9,1,0,0,4.1,4.1,0.10,-0.1,-0.1,Matches
Mats Seuntjens,nl NED,"MF,FW",Fortuna Sittard,30,1992,10.7,0,14,4,28.6,1.31,0.37,0.00,0.00,25.6,2,0,0,0.4,0.4,0.03,-0.4,-0.4,Matches
Serano Seymor,nl NED,DF,Excelsior,20,2002,12.5,1,2,2,100.0,0.16,0.16,0.50,0.50,8.8,0,0,0,0.2,0.2,0.12,+0.8,+0.8,Matches
Aimar Sher,se SWE,"MF,FW",Groningen,19,2002,1.5,0,4,0,0.0,2.69,0.00,0.00,,23.5,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
Fábio Silva,pt POR,FW,PSV Eindhoven,20,2002,6.7,4,18,11,61.1,2.67,1.63,0.17,0.27,11.9,0,1,1,4.0,3.2,0.18,0.0,-0.2,Matches
Florent da Silva,fr FRA,MF,Volendam,19,2003,8.0,1,5,1,20.0,0.62,0.12,0.20,1.00,17.1,0,0,0,0.9,0.9,0.18,+0.1,+0.1,Matches
Xavi Simons,nl NED,"FW,MF",PSV Eindhoven,19,2003,31.1,19,91,37,40.7,2.92,1.19,0.19,0.46,17.3,0,2,2,14.9,13.3,0.15,+4.1,+3.7,Matches

Dimitris Siovas,gr GRE,DF,Fortuna Sittard,33,1988,21.2,1,13,4,30.8,0.61,0.19,0.08,0.25,9.1,0,0,0,1.1,1.1,0.08,-0.1,-0.1,Matches
Gijs Smal,nl NED,DF,Twente,24,1997,33.0,2,43,15,34.9,1.30,0.45,0.05,0.13,23.9,6,0,0,2.1,2.1,0.05,-0.1,-0.1,Matches
Floris Smand,nl NED,DF,Cambuur,19,2003,19.5,0,4,0,0.0,0.21,0.00,0.00,,15.0,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
Milan Smit,nl NED,"FW,MF",Cambuur,19,2003,4.4,1,8,4,50.0,1.81,0.90,0.13,0.25,13.7,0,0,0,0.7,0.7,0.08,+0.3,+0.3,Matches
Vasileios Sourlis,gr GRE,MF,Fortuna Sittard,19,2002,0.2,0,1,0,0.0,4.74,0.00,0.00,,9.1,0,0,0,0.1,0.1,0.12,-0.1,-0.1,Matches
Sylla Sow,nl NED,"FW,MF",Go Ahead Eag,25,1996,5.9,1,14,3,21.4,2.36,0.51,0.07,0.33,15.7,0,0,0,2.2,2.2,0.16,-1.2,-1.2,Matches
Filip Stankovic,rs SRB,GK,Volendam,20,2002,33.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Casper Staring,nl NED,MF,Twente,21,2001,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
