Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,xG: Expected Goals,npxG: Non-Penalty xG,xAG: Exp. Assisted Goals,npxG + xAG,Progressive Carries,Progressive Passes,Progressive Passes Rec,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90,xG/90,xAG/90,xG + xAG/90,npxG/90,npxG + xAG/90,Matches
Sergio Camello,es ESP,FW,Rayo Vallecano,21,2001,38,27,"2,401",26.7,6,5,11,6,0,0,1,0,7.3,7.3,2.4,9.6,40,42,122,0.22,0.19,0.41,0.22,0.41,0.27,0.09,0.36,0.27,0.36,Matches
Sergio Canales,es ESP,"FW,MF",Betis,31,1991,31,28,"2,402",26.7,4,3,7,3,1,1,4,2,4.3,3.5,5.6,9.1,82,143,150,0.15,0.11,0.26,0.11,0.22,0.16,0.21,0.37,0.13,0.34,Matches
Ander Capa,es ESP,DF,Athletic Club,30,1992,7,1,109,1.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,5,12,7,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.00,0.04,Matches
Étienne Capoue,fr FRA,MF,Villarreal,34,1988,28,22,"1,955",21.7,3,0,3,3,0,0,4,0,2.6,2.6,1.2,3.8,45,98,72,0.14,0.00,0.14,0.14,0.14,0.12,0.06,0.18,0.12,0.18,Matches
Isaac Carcelen,es ESP,DF,Cádiz,29,1993,27,25,"2,199",24.4,0,1,1,0,0,0,4,3,0.2,0.2,1.3,1.6,33,85,62,0.00,0.04,0.04,0.00,0.04,0.01,0.05,0.06,0.01,0.06,Matches
Juan Carlos,es ESP,GK,Girona,34,1988,10,10,900,10.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
José Carlos Lazo,es ESP,"MF,FW",Almería,26,1996,1,0,20,0.2,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,0,3,0.00,0.00,0.00,0.00,0.00,0.27,0.00,0.27,0.27,0.27,Matches
José Carlos Lazo,es ESP,"MF,FW",Espanyol,26,1996,10,0,159,1.8,1,1,2,1,0,0,0,0,0.2,0.2,0.2,0.5,2,4,10,0.57,0.57,1.13,0.57,1.13,0.13,0.13,0.26,0.13,0.26,Matches
Carmona,es ESP,"MF,DF",Elche,20,2002,9,8,589,6.5,1,0,1,1,0,0,5,1,0.4,0.4,0.1,0.5,8,10,27,0.15,0.00,0.15,0.15,0.15,0.06,0.02,0.08,0.06,0.08,Matches
Carmona,es ESP,DF,Sevilla,20,2002,10,5,527,5.9,2,1,3,2,0,0,6,1,0.8,0.8,0.4,1.2,9,11,8,0.34,0.17,0.51,0.34,0.51,0.14,0.06,0.20,0.14,0.20,Matches
Yannick Carrasco,be BEL,"DF,MF",Atlético Madrid,28,1993,35,26,"2,317",25.7,7,3,10,6,1,1,2,0,8.0,7.2,4.1,11.2,146,84,264,0.27,0.12,0.39,0.23,0.35,0.31,0.16,0.47,0.28,0.44,Matches
Dani Carvajal,es ESP,DF,Real Madrid,30,1992,27,20,"1,784",19.8,0,2,2,0,0,0,8,1,0.8,0.8,2.0,2.8,22,58,147,0.00,0.10,0.10,0.00,0.10,0.04,0.10,0.14,0.04,0.14,Matches
William Carvalho,pt POR,MF,Betis,30,1992,33,31,"2,438",27.1,3,1,4,3,0,0,6,1,3.1,3.1,1.6,4.7,46,203,52,0.11,0.04,0.15,0.11,0.15,0.11,0.06,0.17,0.11,0.17,Matches

