Player,Nation,Position,Squad,Age,Year of birth,90s Played,Tackles,Tackles Won,Tackles (Def 3rd),Tackles (Mid 3rd),Tackles (Att 3rd),Dribblers Tackled,Dribbles Challenged,% of Dribblers Tackled,Challenges Lost,Blocks,Shots Blocked,Passes Blocked,Interceptions,Tkl+Int,Clearances,Errors,Matches
Tommaso De Nipoti,it ITA,MF,Atalanta,19,2003,0.0,1,0,0,1,0,0,0,,0,0,0,0,0,1,0,0,Matches
Mattia De Sciglio,it ITA,DF,Juventus,29,1992,11.6,14,7,8,3,3,9,14,64.3,5,9,3,6,4,18,20,0,Matches
Lorenzo De Silvestri,it ITA,DF,Bologna,34,1988,7.5,3,2,2,0,1,3,7,42.9,4,6,5,1,3,6,20,0,Matches
Koni De Winter,be BEL,DF,Empoli,20,2002,11.4,14,9,11,3,0,5,13,38.5,8,14,12,2,6,20,65,0,Matches
Grégoire Defrel,mq MTQ,FW,Sassuolo,31,1991,13.0,9,7,5,2,2,4,13,30.8,9,11,0,11,2,11,5,0,Matches
Duccio Degl'Innocenti,it ITA,MF,Empoli,19,2003,0.0,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,Matches
Merih Demiral,tr TUR,DF,Atalanta,24,1998,17.1,41,29,30,11,0,26,36,72.2,10,24,7,17,24,65,57,1,Matches
Diego Demme,de GER,MF,Napoli,30,1991,1.6,1,0,1,0,0,0,4,0.0,4,2,0,2,0,1,1,0,Matches
Fabio Depaoli,it ITA,DF,Hellas Verona,25,1997,24.1,48,28,25,16,7,25,44,56.8,19,32,6,26,18,66,33,3,Matches
Fabio Depaoli,it ITA,"DF,MF",Sampdoria,25,1997,1.5,5,3,2,3,0,3,4,75.0,1,1,0,1,1,6,4,0,Matches
Kastriot Dermaku,al ALB,DF,Lecce,30,1992,0.4,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Cyriel Dessers,ng NGA,FW,Cremonese,27,1994,17.6,11,4,4,4,3,2,6,33.3,4,14,2,12,3,14,5,0,Matches
Sergiño Dest,us USA,DF,Milan,21,2000,3.7,12,6,3,5,4,3,4,75.0,1,1,0,1,4,16,2,0,Matches
Mattia Destro,it ITA,"FW,MF",Empoli,31,1991,6.4,1,1,0,1,0,0,0,,0,2,0,2,1,2,5,0,Matches
Gerard Deulofeu,es ESP,FW,Udinese,28,1994,13.5,8,5,5,1,2,5,15,33.3,10,8,1,7,2,10,1,0,Matches
Samuel Di Carmine,it ITA,"FW,MF",Cremonese,33,1988,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Federico Di Francesco,it ITA,"FW,MF",Lecce,28,1994,22.6,28,16,7,11,10,9,19,47.4,10,16,0,16,8,36,14,0,Matches
Michele Di Gregorio,it ITA,GK,Monza,25,1997,37.0,0,0,0,0,0,0,3,0.0,3,1,0,1,4,4,18,3,Matches
Giovanni Di Lorenzo,it ITA,DF,Napoli,28,1993,36.2,60,29,33,19,8,25,49,51.0,24,30,9,21,30,90,60,0,Matches
Ángel Di María,ar ARG,"FW,MF",Juventus,34,1988,15.1,10,5,3,5,2,3,19,15.8,16,15,0,15,7,17,0,0,Matches
Boulaye Dia,sn SEN,"FW,MF",Salernitana,25,1996,28.0,12,5,3,6,3,2,7,28.6,5,10,0,10,7,19,27,1,Matches
Brahim Díaz,ma MAR,"MF,FW",Milan,22,1999,21.4,32,15,5,22,5,5,15,33.3,10,11,0,11,7,39,6,0,Matches
