nation_rank,nation_prev_rank,nation,confederation,points,season
126,124,India,AFC,1134,2023_2024
127,125,Niger,CAF,1132,2023_2024
128,128,Central African Republic,CAF,1131,2023_2024
129,133,Indonesia,AFC,1124,2023_2024
130,131,Rwanda,CAF,1123,2023_2024
131,130,Nicaragua,CONCACAF,1118,2023_2024
132,134,Malaysia,AFC,1118,2023_2024
133,126,Malawi,CAF,1117,2023_2024
134,136,Kuwait,AFC,1112,2023_2024
135,132,Gambia,CAF,1109,2023_2024
136,139,Burundi,CAF,1102,2023_2024
137,137,Latvia,UEFA,1098,2023_2024
138,140,Suriname,CONCACAF,1094,2023_2024
139,135,Lithuania,UEFA,1091,2023_2024
140,138,Faroe Islands,UEFA,1090,2023_2024
141,146,Saint Kitts and Nevis,CONCACAF,1068,2023_2024
142,144,Turkmenistan,AFC,1065,2023_2024
143,142,Liberia,CAF,1065,2023_2024
144,141,Solomon Islands,OFC,1064,2023_2024
145,143,Ethiopia,CAF,1063,2023_2024
146,150,Dominican Republic,CONCACAF,1058,2023_2024
147,145,Botswana,CAF,1050,2023_2024
148,147,Philippines,AFC,1050,2023_2024
149,152,Moldova,UEFA,1043,2023_2024
150,153,Fiji,OFC,1038,2023_2024
151,148,Antigua and Barbuda,CONCACAF,1035,2023_2024
152,151,Afghanistan,AFC,1034,2023_2024
153,149,Lesotho,CAF,1034,2023_2024
154,157,Puerto Rico,CONCACAF,1022,2023_2024
155,156,Yemen,AFC,1021,2023_2024
156,154,Guyana,CONCACAF,1020,2023_2024
157,159,Hong Kong,AFC,1018,2023_2024
158,158,Tahiti,OFC,1017,2023_2024
159,155,Eswatini,CAF,1012,2023_2024
160,160,New Caledonia,OFC,1009,2023_2024
161,161,Singapore,AFC,1008,2023_2024
162,162,Vanuatu,OFC,1005,2023_2024
163,163,Maldives,AFC,1003,2023_2024
164,170,Saint Lucia,CONCACAF,998,2023_2024
165,167,Cuba,CONCACAF,992,2023_2024
166,165,Chinese Taipei,AFC,991,2023_2024
167,166,Myanmar,AFC,989,2023_2024
168,168,Papua New Guinea,OFC,984,2023_2024
169,164,Andorra,UEFA,982,2023_2024
170,171,Bermuda,CONCACAF,973,2023_2024
171,172,Malta,UEFA,972,2023_2024
172,169,South Sudan,CAF,968,2023_2024
173,173,Grenada,CONCACAF,947,2023_2024
174,174,Saint Vincent and the Grenadines,CONCACAF,946,2023_2024
175,177,Barbados,CONCACAF,944,2023_2024
176,175,Nepal,AFC,936,2023_2024
177,178,Chad,CAF,932,2023_2024
178,179,Mauritius,CAF,928,2023_2024
179,176,Montserrat,CONCACAF,924,2023_2024
