player,nation,position,squad,age,year_of_birth,matches_played,starts,minutes,90s_played,goals_against,goals_against/90,shots_on_target_against,saves,save_percentage,wins,draws,losses,clean_sheets,clean_sheet_percentage,penalty_kicks_attempted,penalty_kicks_allowed,penalty_kicks_saved,penalty_kicks_missed,save%_(penalty_kicks),league,season
Marco Bizot,NED,GK,Brest,32,1991,32,32,"2,876",32.0,34.0,1.06,129.0,94.0,75.2,15.0,10.0,7.0,13.0,40.6,3.0,2.0,1.0,0.0,33.3,Ligue_1,2023_2024
Rubén Blanco,ESP,GK,Marseille,28,1995,2,1,121,1.3,2.0,1.49,6.0,4.0,66.7,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,Ligue_1,2023_2024
Marcin Bułka,POL,GK,Nice,23,1999,34,34,"3,060",34.0,29.0,0.85,105.0,74.0,77.1,15.0,10.0,9.0,17.0,50.0,8.0,5.0,3.0,0.0,37.5,Ligue_1,2023_2024
Lucas Chevalier,FRA,GK,Lille,21,2001,33,33,"2,969",33.0,32.0,0.97,123.0,91.0,76.4,16.0,10.0,7.0,15.0,45.5,5.0,3.0,2.0,0.0,40.0,Ligue_1,2023_2024
Grégoire Coudert,FRA,GK,Brest,24,1999,3,2,181,2.0,0.0,0.0,4.0,4.0,100.0,2.0,0.0,0.0,2.0,100.0,0.0,0.0,0.0,0.0,,Ligue_1,2023_2024
Rémy Descamps,FRA,GK,Nantes,27,1996,6,6,540,6.0,11.0,1.83,37.0,26.0,73.0,2.0,2.0,2.0,1.0,16.7,2.0,1.0,0.0,1.0,0.0,Ligue_1,2023_2024
Arthur Desmas,FRA,GK,Le Havre,29,1994,33,33,"2,970",33.0,43.0,1.3,153.0,111.0,72.5,7.0,11.0,15.0,7.0,21.2,3.0,1.0,1.0,1.0,50.0,Ligue_1,2023_2024
Mory Diaw,SEN,GK,Clermont Foot,30,1993,30,30,"2,700",30.0,54.0,1.8,188.0,134.0,74.5,4.0,8.0,18.0,5.0,16.7,8.0,6.0,1.0,1.0,14.3,Ligue_1,2023_2024
Guillaume Dietsch,FRA,GK,Metz,22,2001,1,0,73,0.8,1.0,1.23,3.0,2.0,66.7,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,Ligue_1,2023_2024
Yehvann Diouf,FRA,GK,Reims,23,1999,34,34,"3,060",34.0,47.0,1.38,137.0,90.0,70.1,13.0,8.0,13.0,8.0,23.5,7.0,6.0,1.0,0.0,14.3,Ligue_1,2023_2024
Gianluigi Donnarumma,ITA,GK,Paris S-G,24,1999,25,25,"2,169",24.1,20.0,0.83,110.0,89.0,84.5,18.0,6.0,1.0,10.0,40.0,4.0,3.0,1.0,0.0,25.0,Ligue_1,2023_2024
Mathieu Gorgelin,FRA,GK,Le Havre,32,1990,1,1,90,1.0,2.0,2.0,5.0,3.0,80.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,Ligue_1,2023_2024
Philipp Köhn,SUI,GK,Monaco,25,1998,22,22,"1,980",22.0,32.0,1.45,97.0,65.0,72.2,11.0,5.0,6.0,5.0,22.7,6.0,5.0,1.0,0.0,16.7,Ligue_1,2023_2024
