squad,#_of_players,90s_played,tackles,tackles_won,tackles_(def_3rd),tackles_(mid_3rd),tackles_(att_3rd),dribblers_tackled,dribbles_challenged,%_of_dribblers_tackled,challenges_lost,blocks,shots_blocked,passes_blocked,interceptions,tkl+int,clearances,errors,league,season
RB Leipzig,25,34,534,312,237,231,66,253,512,49,259,428,94,334,310,844,552,3,Bundesliga,2022_2023
Schalke 04,35,34,542,329,240,246,56,253,551,45,298,397,110,287,306,848,723,12,Bundesliga,2022_2023
Stuttgart,30,34,528,316,255,207,66,268,524,51,256,421,113,308,308,836,666,10,Bundesliga,2022_2023
Union Berlin,28,34,494,278,217,216,61,239,525,45,286,356,101,255,262,756,704,6,Bundesliga,2022_2023
Werder Bremen,25,34,595,349,269,273,53,300,617,48,317,371,103,268,321,916,789,7,Bundesliga,2022_2023
Wolfsburg,28,34,543,324,255,206,82,265,521,50,256,443,116,327,292,835,701,9,Bundesliga,2022_2023
Atalanta,32,38,630,341,252,271,107,299,635,47,336,436,96,340,441,1071,483,6,Serie_A,2021_2022
Bologna,36,38,530,298,261,202,67,216,528,40,312,384,127,257,370,900,678,5,Serie_A,2021_2022
Cagliari,33,38,557,303,263,229,65,230,544,42,314,406,128,278,397,954,747,5,Serie_A,2021_2022
Empoli,28,38,568,327,268,208,92,273,606,45,333,451,177,274,352,920,772,10,Serie_A,2021_2022
Fiorentina,28,38,508,301,232,203,73,268,540,49,272,357,91,266,244,752,407,15,Serie_A,2021_2022
Genoa,40,38,739,416,324,302,113,349,727,48,378,487,134,353,449,1188,751,15,Serie_A,2021_2022
Hellas Verona,31,38,534,308,248,214,72,238,557,42,319,414,107,307,392,926,779,9,Serie_A,2021_2022
Inter,27,38,588,332,265,240,83,247,545,45,298,360,110,250,332,920,485,11,Serie_A,2021_2022
Juventus,32,38,555,316,260,217,78,236,529,44,293,392,134,258,332,887,677,9,Serie_A,2021_2022
Lazio,27,38,578,339,246,255,77,238,621,38,383,416,144,272,315,893,565,10,Serie_A,2021_2022
Milan,28,38,697,421,304,288,105,281,583,48,302,371,110,261,355,1052,477,12,Serie_A,2021_2022
Napoli,27,38,550,327,246,227,77,268,617,43,349,371,108,263,296,846,510,8,Serie_A,2021_2022
Roma,29,38,613,362,282,253,78,283,622,45,339,383,82,301,385,998,552,9,Serie_A,2021_2022
Salernitana,42,38,541,321,274,208,59,277,579,47,302,394,146,248,353,894,777,3,Serie_A,2021_2022
Sampdoria,34,38,562,327,277,217,68,288,629,45,341,383,134,249,443,1005,723,11,Serie_A,2021_2022
Sassuolo,29,38,482,271,252,163,67,236,574,41,338,422,127,295,314,796,664,19,Serie_A,2021_2022
Spezia,30,38,580,343,301,205,74,266,585,45,319,465,176,289,372,952,736,8,Serie_A,2021_2022
Torino,31,38,531,314,223,234,74,228,440,51,212,375,108,267,423,954,651,4,Serie_A,2021_2022
Udinese,29,38,622,350,282,271,69,284,643,44,359,432,122,310,351,973,671,12,Serie_A,2021_2022
Venezia,39,38,613,352,325,217,71,273,626,43,353,495,202,293,388,1001,865,13,Serie_A,2021_2022
Arsenal,26,38,568,343,238,212,118,249,509,48,260,362,86,276,237,805,599,23,Premier_League,2022_2023
Aston Villa,26,38,632,338,305,251,76,312,648,48,336,438,118,320,324,956,714,14,Premier_League,2022_2023
Bournemouth,31,38,618,371,316,249,53,256,614,41,358,499,170,329,353,971,1027,11,Premier_League,2022_2023
Brentford,25,38,588,338,271,228,89,253,599,42,346,456,168,288,341,929,822,14,Premier_League,2022_2023
Brighton,29,38,616,340,270,242,104,266,561,47,295,392,104,288,303,919,432,15,Premier_League,2022_2023
Chelsea,32,38,740,445,363,267,110,333,656,50,323,466,108,358,341,1081,661,21,Premier_League,2022_2023
Crystal Palace,26,38,690,421,354,246,90,281,532,52,251,463,119,344,359,1049,807,7,Premier_League,2022_2023
Everton,28,38,708,424,362,257,89,309,619,49,310,510,180,330,390,1098,874,17,Premier_League,2022_2023
Fulham,29,38,625,350,295,229,101,299,588,50,289,455,125,330,340,965,749,15,Premier_League,2022_2023
Leeds United,29,38,840,480,376,343,121,412,863,47,451,536,131,405,392,1232,734,18,Premier_League,2022_2023
Leicester City,28,38,699,412,345,291,63,308,677,45,369,517,170,347,367,1066,777,12,Premier_League,2022_2023
Liverpool,28,38,590,370,228,250,112,281,651,43,370,350,74,276,333,923,568,20,Premier_League,2022_2023
Manchester City,24,38,471,272,185,198,88,212,462,45,250,339,95,244,223,694,402,9,Premier_League,2022_2023
Manchester Utd,26,38,657,400,343,231,83,300,600,50,300,496,146,350,352,1009,771,11,Premier_League,2022_2023
Newcastle Utd,27,38,607,360,268,254,85,307,642,47,335,448,116,332,333,940,680,10,Premier_League,2022_2023
Nott'ham Forest,33,38,659,387,380,201,78,296,589,50,293,500,156,344,349,1008,944,7,Premier_League,2022_2023
Southampton,36,38,714,426,378,279,57,297,612,48,315,542,165,377,427,1141,852,11,Premier_League,2022_2023
Tottenham,29,38,619,353,325,215,79,275,574,47,299,428,148,280,340,959,762,20,Premier_League,2022_2023
West Ham,25,38,608,336,290,226,92,270,563,48,293,415,139,276,408,1016,810,10,Premier_League,2022_2023
Wolves,32,38,660,370,363,222,75,285,616,46,331,497,175,322,279,939,817,19,Premier_League,2022_2023
Arouca,29,34,568,342,305,211,52,282,594,47,312,369,114,255,355,923,777,7,Primeira_Liga,2022_2023
Benfica,32,34,660,395,243,305,112,365,654,55,289,327,52,275,364,1024,390,7,Primeira_Liga,2022_2023
Boavista,30,34,562,333,293,222,47,271,550,49,279,282,69,213,362,924,636,4,Primeira_Liga,2022_2023
Braga,31,34,530,314,222,222,86,265,582,45,317,373,95,278,374,904,587,3,Primeira_Liga,2022_2023
Casa Pia,31,34,551,318,269,248,34,297,641,46,344,414,128,286,350,901,709,9,Primeira_Liga,2022_2023
Chaves,31,34,477,303,240,182,55,247,561,44,314,428,158,270,336,813,739,10,Primeira_Liga,2022_2023
