squad,#_of_players,average_age,possession,matches_played,starts,minutes,90s_played,goals,assists,goals_+_assists,non-penalty_goals,penalty_kicks_made,penalty_kicks_attempted,yellow_cards,red_cards,goals/90,assists/90,goals_+_assists/90,non-penalty_goals/90,npxg_+_xag/90,league,season,xg:_expected_goals,npxg:_non-penalty_xg,xag:_exp._assisted_goals,npxg_+_xag,progressive_carries,progressive_passes,non-penalty_goals_+_assists/90,xg/90,xag/90,xg_+_xag/90,npxg/90
Chaves,31,27,46.0,34,374,3060,34,34,17.0,51.0,27,7,10,110,10,1,0.0,1.0,0,1.0,Primeira_Liga,2022_2023,44.0,37.0,26.0,64.0,521.0,1209.0,1.0,1.0,0.0,2.0,1.0
Estoril,33,24,47.0,34,374,3060,34,33,26.0,59.0,30,3,4,99,5,0,0.0,1.0,0,1.0,Primeira_Liga,2022_2023,33.0,30.0,22.0,52.0,500.0,1015.0,1.0,0.0,0.0,1.0,0.0
Famalicão,33,24,47.0,34,374,3060,34,37,31.0,68.0,34,3,5,86,7,1,0.0,2.0,1,1.0,Primeira_Liga,2022_2023,37.0,33.0,29.0,62.0,515.0,1096.0,1.0,1.0,0.0,1.0,0.0
Gil Vicente FC,32,25,53.0,34,374,3060,34,31,19.0,50.0,26,5,8,81,2,0,0.0,1.0,0,2.0,Primeira_Liga,2022_2023,45.0,39.0,29.0,68.0,576.0,1428.0,1.0,1.0,0.0,2.0,1.0
Marítimo,39,26,48.0,34,374,3060,34,31,21.0,52.0,27,4,7,107,10,0,0.0,1.0,0,1.0,Primeira_Liga,2022_2023,43.0,37.0,29.0,67.0,486.0,1199.0,1.0,1.0,0.0,2.0,1.0
Paços,36,26,46.0,34,374,3060,34,25,17.0,42.0,22,3,3,111,10,0,0.0,1.0,0,1.0,Primeira_Liga,2022_2023,32.0,30.0,24.0,54.0,523.0,1040.0,1.0,0.0,0.0,1.0,0.0
Portimonense,35,25,48.0,34,374,3060,34,25,15.0,40.0,22,3,7,99,4,0,0.0,1.0,0,1.0,Primeira_Liga,2022_2023,39.0,34.0,27.0,62.0,389.0,1072.0,1.0,1.0,0.0,1.0,1.0
Porto,28,27,58.0,34,374,3060,34,71,49.0,120.0,61,10,12,77,5,2,1.0,3.0,1,3.0,Primeira_Liga,2022_2023,74.0,65.0,52.0,117.0,741.0,1624.0,3.0,2.0,1.0,3.0,1.0
Rio Ave,30,26,48.0,34,374,3060,34,35,29.0,64.0,32,3,6,92,6,1,0.0,1.0,0,1.0,Primeira_Liga,2022_2023,35.0,30.0,26.0,57.0,523.0,1148.0,1.0,1.0,0.0,1.0,0.0
Santa Clara,34,25,42.0,34,374,3060,34,26,18.0,44.0,20,6,7,114,7,0,0.0,1.0,0,1.0,Primeira_Liga,2022_2023,35.0,29.0,22.0,52.0,402.0,919.0,1.0,1.0,0.0,1.0,0.0
Sporting CP,32,25,63.0,34,374,3060,34,66,51.0,117.0,59,7,10,88,3,1,1.0,3.0,1,3.0,Primeira_Liga,2022_2023,69.0,62.0,50.0,112.0,875.0,1847.0,3.0,2.0,1.0,3.0,1.0
Vitória,34,24,47.0,34,374,3060,34,34,25.0,59.0,29,5,5,118,10,1,0.0,1.0,0,1.0,Primeira_Liga,2022_2023,35.0,31.0,24.0,56.0,516.0,1132.0,1.0,1.0,0.0,1.0,0.0
