Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,npxG + xAG/90,Matches
Michał Gurgul,pl POL,"DF,MF",Lech Poznań,17,2006,10,7,565,6.3,1,0,1,1,0,0,1,0,0.16,0.00,0.16,0.16,0.16,Matches
Valerian Gvilia,ge GEO,MF,Piast Gliwice,29,1994,2,0,9,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Piotr Głowacki,pl POL,"DF,MF",Łódzki KS,31,1991,28,20,"1,812",20.1,0,1,1,0,0,0,1,0,0.00,0.05,0.05,0.00,0.05,Matches
Wojciech Hajda,pl POL,MF,Puszcza Niepołomice,23,2000,32,26,"2,061",22.9,1,1,2,1,0,0,6,0,0.04,0.04,0.09,0.04,0.09,Matches
Jetmir Haliti,xk KVX,DF,Jagiellonia,26,1996,6,3,275,3.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Marek Hanousek,cz CZE,MF,Widzew Łódź,31,1991,29,28,"2,387",26.5,0,1,1,0,0,0,6,1,0.00,0.04,0.04,0.00,0.04,Matches
Tom Hateley,eng ENG,MF,Piast Gliwice,33,1989,9,2,199,2.2,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Koki Hinokio,jp JPN,"FW,MF",Stal Mielec,22,2001,32,21,"1,841",20.5,3,2,5,3,0,0,4,0,0.15,0.10,0.24,0.15,0.24,Matches
Yoav Hofmeister,il ISR,"MF,DF",Korona Kielce,22,2000,29,29,"2,408",26.8,1,1,2,1,0,0,11,1,0.04,0.04,0.07,0.04,0.07,Matches
Jakub Holúbek,sk SVK,DF,Piast Gliwice,32,1991,13,8,819,9.1,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
Arttu Hoskonen,fi FIN,DF,Cracovia,26,1997,26,24,"2,153",23.9,1,0,1,1,0,0,2,0,0.04,0.00,0.04,0.04,0.04,Matches
Engjëll Hoti,xk KVX,MF,Łódzki KS,26,1997,30,18,"1,567",17.4,4,0,4,4,0,0,6,1,0.23,0.00,0.23,0.23,0.23,Matches
Dino Hotić,ba BIH,MF,Lech Poznań,28,1995,16,8,712,7.9,0,2,2,0,0,0,2,0,0.00,0.25,0.25,0.00,0.25,Matches
Lukáš Hroššo,sk SVK,GK,Cracovia,36,1987,7,7,630,7.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
