Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,xG: Expected Goals,npxG: Non-Penalty xG,xAG: Exp. Assisted Goals,npxG + xAG,Progressive Carries,Progressive Passes,Progressive Passes Rec,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90,xG/90,xAG/90,xG + xAG/90,npxG/90,npxG + xAG/90,Matches
Massimo Bruno,be BEL,"MF,DF",Kortrijk,28,1993,22,13,"1,203",13.4,3,1,4,3,0,0,3,0,1.6,1.6,2.1,3.7,40,75,73,0.22,0.07,0.30,0.22,0.30,0.12,0.16,0.28,0.12,0.28,Matches
Tajon Buchanan,ca CAN,"DF,FW",Club Brugge,23,1999,22,18,"1,622",18.0,1,2,3,1,0,0,6,0,2.6,2.6,1.8,4.4,68,48,126,0.06,0.11,0.17,0.06,0.17,0.14,0.10,0.24,0.14,0.24,Matches
Denys Bunchukov,ua UKR,MF,R.F.C. Seraing,19,2003,7,3,293,3.3,0,1,1,0,0,0,0,0,0.3,0.3,0.2,0.4,3,13,7,0.00,0.31,0.31,0.00,0.31,0.08,0.05,0.14,0.08,0.14,Matches
Christian Burgess,eng ENG,DF,Union SG,30,1991,31,31,"2,724",30.3,3,0,3,3,0,0,10,0,2.8,2.8,0.3,3.1,8,112,1,0.10,0.00,0.10,0.10,0.10,0.09,0.01,0.10,0.09,0.10,Matches

Jean Butez,fr FRA,GK,Antwerp,27,1995,34,34,"3,060",34.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Mathieu Cachbach,be BEL,MF,R.F.C. Seraing,21,2001,25,21,"1,704",18.9,0,3,3,0,0,0,6,0,0.3,0.3,0.8,1.1,27,62,31,0.00,0.16,0.16,0.00,0.16,0.02,0.04,0.06,0.02,0.06,Matches
Alexandro Calut,be BEL,"DF,MF",Standard Liège,19,2003,2,1,26,0.3,0,0,0,0,0,0,2,1,0.0,0.0,0.0,0.0,1,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Cihan Çanak,tr TUR,"MF,FW",Standard Liège,17,2005,29,6,901,10.0,1,3,4,1,0,0,4,0,1.5,1.5,2.8,4.3,34,27,73,0.10,0.30,0.40,0.10,0.40,0.16,0.31,0.47,0.16,0.47,Matches
Brecht Capon,be BEL,"DF,MF",Oostende,34,1988,21,11,"1,119",12.4,0,0,0,0,0,0,0,0,0.6,0.6,0.6,1.2,12,69,17,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.10,0.05,0.10,Matches
Rasmus Carstensen,dk DEN,DF,Genk,21,2000,4,0,50,0.6,0,1,1,0,0,0,0,0,0.0,0.0,0.1,0.1,3,4,7,0.00,1.80,1.80,0.00,1.80,0.00,0.25,0.25,0.00,0.25,Matches
Nicolás Castro,ar ARG,"MF,FW",Genk,21,2000,23,3,585,6.5,0,1,1,0,0,0,0,0,0.9,0.9,1.3,2.2,12,34,44,0.00,0.15,0.15,0.00,0.15,0.14,0.20,0.33,0.14,0.33,Matches
Alessio Castro-Montes,be BEL,"DF,MF",Gent,25,1997,26,18,"1,823",20.3,1,4,5,1,0,0,6,0,1.7,1.7,3.4,5.1,44,109,142,0.05,0.20,0.25,0.05,0.25,0.09,0.17,0.25,0.09,0.25,Matches
Nacer Chadli,be BEL,"MF,FW",Westerlo,32,1989,22,20,"1,299",14.4,5,1,6,3,2,2,0,0,5.5,4.0,0.6,4.6,24,55,89,0.35,0.07,0.42,0.21,0.28,0.38,0.04,0.43,0.27,0.32,Matches
Youssef Challouk,be BEL,"DF,FW",Kortrijk,26,1995,2,0,13,0.1,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.22,0.00,0.22,0.22,0.22,Matches
Regan Charles-Cook,gd GRN,"FW,DF",Eupen,25,1997,31,26,"2,203",24.5,6,2,8,6,0,0,4,0,3.7,3.7,2.0,5.7,88,63,184,0.25,0.08,0.33,0.25,0.33,0.15,0.08,0.23,0.15,0.23,Matches
Isaac Christie-Davies,wls WAL,MF,Eupen,24,1997,24,15,"1,333",14.8,0,2,2,0,0,0,3,0,0.8,0.8,0.9,1.7,38,67,70,0.00,0.14,0.14,0.00,0.14,0.06,0.06,0.11,0.06,0.11,Matches
Gojko Cimirot,ba BIH,"MF,DF",Standard Liège,29,1992,30,23,"2,106",23.4,0,1,1,0,0,0,6,1,0.4,0.4,1.1,1.5,37,152,33,0.00,0.04,0.04,0.00,0.04,0.02,0.05,0.06,0.02,0.06,Matches
Alessandro Ciranni,be BEL,DF,Zulte Waregem,26,1996,27,25,"2,052",22.8,1,3,4,1,0,0,5,0,1.1,1.1,2.4,3.5,24,76,88,0.04,0.13,0.18,0.04,0.18,0.05,0.11,0.15,0.05,0.15,Matches
Valentin Cojocaru,ro ROU,GK,OH Leuven,26,1995,34,34,"3,060",34.0,0,0,0,0,0,0,1,0,0.0,0.0,0.2,0.2,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Sérgio Conceição,pt POR,"DF,MF",R.F.C. Seraing,25,1996,20,7,746,8.3,0,0,0,0,0,0,1,0,0.8,0.8,1.8,2.6,18,18,52,0.00,0.00,0.00,0.00,0.00,0.10,0.22,0.31,0.10,0.31,Matches
Jo Coppens,be BEL,GK,Sint-Truiden,31,1990,4,3,281,3.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Kobe Corbanie,be BEL,"DF,MF",Antwerp,17,2005,5,0,34,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,3,2,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.06,0.06,0.06,Matches
Gaëtan Coucke,be BEL,GK,Mechelen,23,1998,29,29,"2,600",28.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Alessio da Cruz,,"MF,FW",Mechelen,25,1997,28,23,"1,814",20.2,3,2,5,3,0,0,3,1,2.6,2.6,2.0,4.6,41,62,103,0.15,0.10,0.25,0.15,0.25,0.13,0.10,0.24,0.13,0.24,Matches
Carlos Cuesta,co COL,DF,Genk,23,1999,29,29,"2,530",28.1,1,0,1,1,0,0,5,0,1.5,1.5,0.0,1.5,34,125,3,0.04,0.00,0.04,0.04,0.04,0.05,0.00,0.05,0.05,0.05,Matches
Hugo Cuypers,be BEL,FW,Gent,25,1997,33,31,"2,682",29.8,20,4,24,16,4,4,1,0,19.9,16.9,3.3,20.3,56,56,254,0.67,0.13,0.81,0.54,0.67,0.67,0.11,0.78,0.57,0.68,Matches
Maxime D'Arpino,fr FRA,"DF,MF",Oostende,26,1996,4,0,120,1.3,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,2,12,1,0.00,0.00,0.00,0.00,0.00,0.03,0.06,0.09,0.03,0.09,Matches
